Room: 303, Node number: 1, [1, '303', 1, 1526614578.755, datetime.datetime(2018, 5, 18, 9, 6, 18, 755000)]
Room: 303, Node number: 2, [2, '303', 1, 1526614583.33, datetime.datetime(2018, 5, 18, 9, 6, 23, 330000)]
Room: 303, Node number: 1, [1, '303', 0, 1526614583.753, datetime.datetime(2018, 5, 18, 9, 6, 23, 753000)]
Room: 303, Node number: 2, [2, '303', 1, 1526614585.385, datetime.datetime(2018, 5, 18, 9, 6, 25, 385000)]
Room: 303, Node number: 2, [2, '303', 1, 1526614585.426, datetime.datetime(2018, 5, 18, 9, 6, 25, 426000)]
Room: 303, Node number: 2, [2, '303', 1, 1526614586.566, datetime.datetime(2018, 5, 18, 9, 6, 26, 566000)]
Room: 303, Node number: 1, [1, '303', 1, 1526614589.771, datetime.datetime(2018, 5, 18, 9, 6, 29, 771000)]
Room: 303, Node number: 1, [1, '303', 0, 1526614593.892, datetime.datetime(2018, 5, 18, 9, 6, 33, 892000)]
Room: 303, Node number: 1, [1, '303', 1, 1526614601.142, datetime.datetime(2018, 5, 18, 9, 6, 41, 142000)]
Room: 303, Node number: 1, [1, '303', 0, 1526614604.211, datetime.datetime(2018, 5, 18, 9, 6, 44, 211000)]
Room: 303, Node number: 1, [1, '303', 1, 1526614605.249, datetime.datetime(2018, 5, 18, 9, 6, 45, 249000)]
Room: 303, Node number: 1, [1, '303', 0, 1526614607.29, datetime.datetime(2018, 5, 18, 9, 6, 47, 290000)]
Room: 303, Node number: 2, [2, '303', 1, 1526614611.957, datetime.datetime(2018, 5, 18, 9, 6, 51, 957000)]
Room: 303, Node number: 1, [1, '303', 1, 1526614617.438, datetime.datetime(2018, 5, 18, 9, 6, 57, 438000)]
Room: 303, Node number: 1, [1, '303', 0, 1526614622.447, datetime.datetime(2018, 5, 18, 9, 7, 2, 447000)]
Room: 303, Node number: 2, [2, '303', 1, 1526614654.259, datetime.datetime(2018, 5, 18, 9, 7, 34, 259000)]
Room: 303, Node number: 2, [2, '303', 1, 1526614654.29, datetime.datetime(2018, 5, 18, 9, 7, 34, 290000)]
Room: 303, Node number: 1, [1, '303', 1, 1526614654.459, datetime.datetime(2018, 5, 18, 9, 7, 34, 459000)]
Room: 303, Node number: 1, [1, '303', 0, 1526614657.468, datetime.datetime(2018, 5, 18, 9, 7, 37, 468000)]
Room: 303, Node number: 2, [2, '303', 1, 1526614664.107, datetime.datetime(2018, 5, 18, 9, 7, 44, 107000)]
Room: 303, Node number: 2, [2, '303', 1, 1526614664.126, datetime.datetime(2018, 5, 18, 9, 7, 44, 126000)]
Room: 303, Node number: 1, [1, '303', 1, 1526614664.642, datetime.datetime(2018, 5, 18, 9, 7, 44, 642000)]
Room: 303, Node number: 1, [1, '303', 0, 1526614668.634, datetime.datetime(2018, 5, 18, 9, 7, 48, 634000)]
Room: 303, Node number: 1, [1, '303', 1, 1526614670.738, datetime.datetime(2018, 5, 18, 9, 7, 50, 738000)]
Room: 303, Node number: 2, [2, '303', 1, 1526614671.27, datetime.datetime(2018, 5, 18, 9, 7, 51, 270000)]
Room: 303, Node number: 2, [2, '303', 1, 1526614671.32, datetime.datetime(2018, 5, 18, 9, 7, 51, 320000)]
Room: 303, Node number: 1, [1, '303', 0, 1526614672.711, datetime.datetime(2018, 5, 18, 9, 7, 52, 711000)]
Room: 303, Node number: 1, [1, '303', 1, 1526614673.705, datetime.datetime(2018, 5, 18, 9, 7, 53, 705000)]
Room: 303, Node number: 1, [1, '303', 0, 1526614676.717, datetime.datetime(2018, 5, 18, 9, 7, 56, 717000)]
Room: 303, Node number: 1, [1, '303', 0, 1526614684.891, datetime.datetime(2018, 5, 18, 9, 8, 4, 891000)]
Room: 303, Node number: 1, [1, '303', 1, 1526614688.893, datetime.datetime(2018, 5, 18, 9, 8, 8, 893000)]
Room: 303, Node number: 1, [1, '303', 0, 1526614694.881, datetime.datetime(2018, 5, 18, 9, 8, 14, 881000)]
Room: 303, Node number: 1, [1, '303', 1, 1526614737.921, datetime.datetime(2018, 5, 18, 9, 8, 57, 921000)]
Room: 303, Node number: 2, [2, '303', 1, 1526614739.712, datetime.datetime(2018, 5, 18, 9, 8, 59, 712000)]
Room: 303, Node number: 2, [2, '303', 1, 1526614739.743, datetime.datetime(2018, 5, 18, 9, 8, 59, 743000)]
